"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 23","182.975","161.176","163.519","135.724","2.33M","-11.29%"
"Jul 23","161.176","168.385","172.466","155.739","1.89M","-4.28%"
"Jun 23","168.385","145.910","170.812","126.076","2.47M","15.41%"
"May 23","145.906","155.385","158.949","144.754","1.97M","-6.34%"
"Apr 23","155.788","157.583","164.346","149.384","2.22M","-1.14%"
"Mar 23","197.583","150.289","165.687","132.060","3.41M","4.85%"
"Feb 23","250.289","177.479","180.797","145.476","2.61M","-15.32%"
"Jan 23","197.479","147.457","187.550","146.521","3.40M","20.36%"
"Dec 22","147.457","142.181","153.715","138.552","3.15M","3.71%"
"Nov 22","192.181","149.514","161.909","115.696","3.59M","-4.90%"
"Oct 22","149.514","147.371","152.659","134.848","3.18M","1.46%"
"Sep 22","247.361","149.269","166.368","134.066","3.66M","-1.28%"
"Aug 22","149.269","154.785","174.316","141.587","4.19M","-3.56%"